Colonia,NombreTempo,Religion,UbicaTemplo,MinistroTemplo
140,- Inexistente -,99,,
452,Nota: En la terraza se oficia misa los domingos a las 12.15,1,"Terraza de la colonia, por Guardia Nacional",
155,- Inexistente -,99,,
322,Orden de Combonianos,1,Av. Guadalupe,
453,- Inexistente -,99,,
85,- Inexistente -,99,,
375,- Inexistente -,99,,
90,- Inexistente -,99,,
113,Capilla Santo Niño,1,Domicilio conocido,
451,- Inexistente -,99,,
263,San Ramón Nonato,1,San Ramón No. 10,
455,- Inexistente -,99,,
180,- Inexistente -,99,,
456,- Inexistente -,99,,
169,Templo Sagrado Corazón,1,Río Blanco y Arroyo,
97,"Iglesia Bíblica Ciudad del Sol, A.R.",3,Volcán Popocatépetl No. 3321,
97,Misioneros de Oblatos / María Inmaculada,1,Voclán Jorullo 2047,
146,- Inexistente -,99,,
226,- Inexistente -,99,,
151,- Inexistente -,99,,
426,- Inexistente -,99,,
427,- Inexistente -,99,,
125,- Inexistente -,99,,
154,- Inexistente -,99,,
376,- Inexistente -,99,,
337,Capilla de Jesús de la Divina Misericordia,1,"Reforma, casi esq. con Independencia",
459,Capilla de San Isidro,1,Morelos y Vicente Guerrero,
457,- Inexistente -,99,,
458,- Inexistente -,99,,
411,- Inexistente -,99,,
460,- Inexistente -,99,,
461,- Inexistente -,99,,
50,- Inexistente -,99,,
46,Iglesia Cristiana en el Briseño,2,"Santa Clara No. 9, cruza con San Ignacio",
46,Servicio de Auxilio Nocturno Espiritual,0,"San Felipe No. 50-B, Tel. 36841904",
54,Parroquia de Guadalupe Chapalita,1,Juan de la Cruz y Santo Domingo de Guzmán,
62,- Inexistente -,99,,
464,- Inexistente -,99,,
466,- Inexistente -,99,,
465,- Inexistente -,99,,
463,- Inexistente -,99,,
462,- Inexistente -,99,,
339,- Inexistente -,99,,
20,Salón del Reino de los Testigos de Jehová,6,"Av. Guadalupe No. 5269, esq. Topógrafos",
20,Iglesia de Dios en México,0,Ecónomos 5563 y J. Brahms,
20,Frente de Vida,2,"Av. San Luis Gonzaga No. 5370 y Rafael Sanzio, Tel. 36207768",
82,Iglesia Bíblica,0,"Río Tepalcatepec No. 755, esq. Sierra de Tapalpa",
11,Iglesia de Jesucristo de los Santos de los Últimos Días,0,"18 de marzo No. 3088, y Sierra de Mazamitla",
298,- Inexistente -,99,,
414,- Inexistente -,99,,
467,- Inexistente -,99,,
468,- Inexistente -,99,,
469,- Inexistente -,99,,
470,- Inexistente -,99,,
471,- Inexistente -,99,,
394,"Casa de Evangelización Católica ""San Antonio de Padua""",1,Jilgueros No. 6,
150,- Inexistente -,99,,
69,- Inexistente -,99,,
143,- Inexistente -,99,,
159,- Inexistente -,99,,
163,San José Esposo de María,1,Zapotlán No. 1868 y Javier Rojo G.,
153,- Inexistente -,99,,
64,- Inexistente -,99,,
133,- Inexistente -,99,,
148,- Inexistente -,99,,
124,- Inexistente -,99,,
68,-Inexistente-,99,,
72,Centro de Paz y Unidad A.C. (Misioneros Combonianos del C. de J. A.R.),1,"Ermita No. 647-15, Tel. 36285371 y 36285377",
472,- Inexistente -,99,,
473,- Inexistente -,99,,
31,- Inexistente -,99,,
171,Jose Ma Robles y Nuestra Señora de Guadalupe,1,20 de enero 37,Enrique Morales Plascencia
83,Nuestra Señora del Rosario,1,Arandas y puente grande,
318,San Cristobal Magallones  (en construcción),1,Andador playa centro y playa yelapa centro,
266,Nueva Creación,2,Trueno N° 1362 esquina araucaria,
266,Iglesia Jesucristo de los Últimos Santos,2,Tepeyac N° 160 con Abedul,
198,Iglesia Bautista,7,Av. Acueducto N° 2279,
186,inexistente,99,,
178,"Inexistente",99,,
185,Inexistente,99,,
197,Centro Pastoral Catolico,1,Moctezuma N° 4591,
213,Inexistente,99,,
212,Inexistente,99,,
245,Capilla de San Juan,1,General Emiliano Zapata S/N,
476,Inexistente,99,,
267,Inexistente,99,,
479,Inexistente,99,,
210,"Casa Pastoral ""Santa Cruz de las Colinas""",1,calle Arbolitos N° 3777,
210,"Centro Evangelico ""Loma Bonita Ejidal""",3,Rio Tepalcatepec N° 688 y Los Pinitos,
478,Inexistente,99,,
477,Madre Naty,1,Calle Tezontle N° 220 y Puerto Acapulco,
182,Iglesia Bautista,7,Prolongación Av. Tepeyac,
129,Santa Cecilia,1,Calle Azaleas y Rio Verde,
238,Iglesia,1,"Carlos Rivera Aceves, frente al N° 25",
350,Capilla San Lorenzo,1,Calle Galeana s/n,
217,Iglesia Cristiana,2,San Juan Bosco N° 4586-1,
268,Inexistente,99,,
269,Inexistente,99,,
486,Inexistente,99,,
484,Inexistente,99,,
485,Inexistente,99,,
483,"Capilla ""Señor de la Misericordia""",1,Camino al Poblado de Río Blanco,Padre Eduardo
482,Capilla de San Juan Diego,1,Paseo de las Galeanas,
481,Inexistente,99,,
252,Jesús de la Divina Misericordia,1,Misión Santa Elena.,
134,Inexistente,99,,
492,Colegio Iniciático Ashram  (Hindú),0,"Kilometro 10, Carretera a Colotlán",Contacto: Enrique Ochoa
289,Inexistente,99,,
493,Inexistente,99,,
494,Inexistente,99,,
303,Inexistente,99,,
311,Inexistente,99,,
315,Inexistente,99,,
495,Inexistente,99,,
496,Inexistente,99,,
497,Inexistente,99,,
310,Inexistente,99,,
251,Inexistente,99,,
498,Inexistente,99,,
499,Capilla,1,Prolongación Acueducto y Escuadrón 2001,
500,Inexistente,99,,
501,Inexistente,99,,
502,Inexistente,99,,
503,Inexistente,99,,
504,Inexistente,99,,
7,Nuestra Señora de Guadalupe,1,"Guadalupe Gallo 87, esq. Vicente Guerrero",Jesús Flores Ayala
7,"Misioneros de Oblatos ""La sagrada familia""",1,"Francisco Villa 53, Tel 36843748",
287,Inexistente,99,,
314,Inexistente,99,,
309,Inexistente,99,,
341,Inexistente,99,,
342,Inexistente,99,,
349,Iglesia Evenecer,2,hidalgo s/n y juan gil preciado,
506,Inexistente,99,,
505,Inexistente,99,,
420,Inexistente,99,,
357,Inexistente,99,,
331,"iglesia Luterana ""Todos los Santos""",9,Prados de los Pinos y Tepeyac,
160,- Inexistente -,99,,
374,- Inexistente -,99,,
356,Iglesia Bautista,7,Galeana 123,
507,Inexistente,99,,
508,Inexistente,99,,
509,Inexistente,99,,
510,Inexistente,99,,
356,"Centro de Catesismo ""Jesús Amigo""",1,Zaragoza N° 11,
356,"Centro de Evangelización ""Jesús de Nazaret""",1,Javier Mina N° 67,
511,Inexistente,99,,
512,Inexistente,99,,
516,Inexistente,99,,
30,Inexistente,99,,
332,Jesucristo de los Santos de los Ültimos Días,5,Conchitas y Quebrada,
333,Inexistente,99,,
327,Inexistente,99,,
389,Inexistente,99,,
404,Inexistente,99,,
419,Inexistente,99,,
515,Inexistente,99,,
514,Inexistente,99,,
3,Inexistente,99,,
107,Inexistente,99,,
517,Inexistente,99,,
340,Inexistente,99,,
392,Capilla Católica,1,Domicilio Conocido,
519,Inexistente,99,,
520,Inexistente,99,,
518,Inexistente,99,,
521,Inexistente,99,,
522,Inexistente,99,,
523,Inexistente,99,,
524,Inexistente,99,,
525,Inexistente,99,,
513,Inexistente,99,,
527,Inexistente,99,,
531,La Divina Providencia,1,Morelos y V. Carranza,
530,Inexistente,99,,
240,"Iglesia Cristiana ""Casa del Rey Jesucristo""",3,Chichen-Itza y Negri,
228,LA ROCA 8va Iglesia Apostolica de la Fe en Cristo Jesus A. R. en  Zapopan,0,,
244,Santuario de Guadalupe,0,Guadalupe Victoria e Iturbide,
130,Iglesia Reyno de Dios,0,Calle Flores y Agua Marina,
394,Capilla de San Miguel,0,Primavera y Lazaro Cardenas,
